% Fair or Poor Health,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Uninsured,% Vaccinated,High School Graduation Rate,% Some College,% Unemployed,% Children in Poverty,Income Ratio,% Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems
23.795917414,19.620354153,40.6,7.8,32.6,63.781223084,13.286503658,13.883338091,43,89.808917197,35.323033708,3.9074291464,25.8,5.0792586055,30.039384175,309.06721281,10.6,11.18359739
19.284407812,18.374465772,37.3,8.0,31.3,41.48410366,14.462966516,13.34452371,34,98.02955665,45.014164306,4.2486505311,22.9,4.7756800772,24.549483013,103.33333333,11.0,12.93916024
19.425826811,17.444757594,34.2,7.5,30.8,53.723872828,15.183294249,11.99236659,37,92.517006803,63.770962381,3.9486957775,21.9,4.658772634,35.831885497,276.20804419,10.9,12.103225806
20.914454347,18.658821061,30.6,7.4,36.6,55.732343647,14.697592905,9.683862525,45,92.136752137,54.66543892,4.61776593,21.0,4.7582009157,36.054775524,400.00735646,10.7,13.729925356
28.608747789,21.107512965,43.0,5.6,40.7,37.019957666,12.042707635,12.033455306,44,80.373831776,36.263736264,5.2291944815,40.1,4.4522035786,50.756429652,387.40920097,10.3,13.359528487
24.919103283,20.399965623,40.3,6.9,35.3,6.4217003207,12.670540333,13.026201416,39,82.716049383,42.868954113,4.1819012797,30.1,4.4343642229,39.513513514,254.8321954,11.0,14.625445898
22.668806251,19.249451541,31.7,7.6,35.5,50.234343969,13.500302181,12.103617686,39,94.902912621,53.610581506,4.5783441122,29.5,4.9163307041,36.344301264,331.12142449,10.5,12.845849802
22.146936238,18.646929565,38.0,6.2,33.5,22.35006472,14.617009895,12.267525036,36,89.08045977,44.907827138,4.0806605272,30.8,5.4902610309,40.585911784,331.90736097,10.7,9.9539170507
21.786493693,17.901071221,36.9,8.2,36.7,41.65360794,14.887181459,12.658246768,41,90.519877676,50.378489972,3.2804652392,19.7,4.4355847084,25.417530837,129.39228552,11.6,12.306949807
23.433107031,20.057394929,37.2,6.7,32.0,46.387136574,14.537961368,9.6988639182,41,90.316205534,57.649513213,4.2047713718,24.4,5.0630993588,32.775035261,436.72141878,11.0,13.620643788
29.826897822,24.088991007,43.1,4.6,26.9,59.637151985,11.338256451,10.372407688,34,86.193293886,50.673677292,6.5477792732,48.0,6.0589055706,67.957055848,924.56116843,11.1,20.99378882
25.958981492,21.028270793,29.2,8.2,31.7,45.037899563,12.458249532,17.319033941,40,92.742927429,45.800442955,3.8169205749,29.6,4.7936189608,33.876822031,312.33068808,11.3,11.084240226
18.633862824,17.45250185,34.3,7.6,26.4,51.730703756,15.852900191,8.6557164469,39,86.157253599,54.726881335,3.4475345963,16.3,4.3829684287,31.288883995,238.67666368,11.9,11.370716511
26.054891893,22.412584583,39.4,6.6,32.4,48.130170412,12.975168361,14.428344867,35,87.792207792,37.530662306,4.5707915273,32.8,5.5181557933,46.045437978,446.24531575,10.2,11.821204285
21.483864058,20.147398601,35.5,7.1,34.1,49.494398161,14.030530522,12.46599573,36,90.272052762,55.234253305,4.1024689066,28.8,4.711496399,37.266487887,603.96261974,11.5,11.222165992
22.19934392,18.001593256,41.0,7.9,33.7,34.162751581,13.518523943,11.459956373,45,91.803278689,52.331743508,4.1190990435,37.4,4.9304376013,36.083956297,,10.6,12.335766423
25.368021469,19.250583044,34.3,7.9,38.1,58.147236942,13.37365231,15.3034504,38,92.105263158,41.067168864,3.7316059987,30.1,4.4014483284,42.277992278,264.23443643,10.5,12.954253955
23.084669296,20.003603276,38.7,7.8,36.8,20.205300485,13.722139578,14.07272901,46,90.287769784,43.35687305,3.9259054465,29.5,4.981861999,40.86521889,413.57112113,10.6,10.18301267
33.985155643,24.632818706,35.5,3.2,18.3,6.2244333886,9.5715759609,11.446345257,30,77.528089888,50.282167043,6.7300916138,44.0,5.8778148906,77.002724796,669.34404284,10.5,19.323671498
27.902570328,22.077291339,40.4,6.1,27.8,29.898477157,11.404598069,10.560162464,33,91.282051282,46.728971963,5.090969788,35.6,6.3620112716,58.504187121,208.55807264,10.8,16.554621849
21.419262062,18.429845441,36.3,7.9,35.4,25.309212808,13.80933082,12.187736563,42,97.905759162,53.465085639,4.4339343778,27.2,4.8983823919,25.112485939,197.37229718,10.9,10.688140556
20.269797095,19.249782785,38.1,7.1,30.6,66.544555723,13.523701774,11.070223497,45,90.917431193,59.288537549,4.0420819491,21.9,5.1415914861,42.250425117,487.78848416,10.7,13.451035184
23.244761808,19.958920884,38.7,7.9,29.1,47.190335732,13.492016278,13.050941708,42,90.117252931,44.67778134,4.1091175079,26.8,5.0405832634,30.896800361,316.98494808,11.0,10.804712961
19.696302144,17.622045263,34.6,6.3,30.1,78.627749952,14.68864353,10.049484847,44,88.73381114,68.1047602,3.7116179533,22.6,5.3402985075,42.576156874,872.75002018,13.4,16.762486868
24.255310984,20.430552004,35.7,7.8,36.5,10.313100796,12.966690472,11.531698288,40,94.285714286,52.603823336,3.8105226359,25.3,5.0492538312,21.061251228,162.21172156,10.3,10.648918469
20.125833414,16.6560043,32.5,7.6,28.5,65.492023428,13.74675543,11.285158773,49,94.385285576,59.327000331,4.1906931492,17.9,4.5232429162,32.681518601,268.60320916,11.0,12.591240876
21.833803124,20.18764616,32.6,8.0,36.4,48.985118961,14.331455095,14.028629857,40,88.055555556,48.394783045,4.1885192902,31.4,4.9015490176,29.700499168,260.45300219,11.3,10.623123123
21.463907829,17.560140407,29.9,6.4,21.3,67.74904276,15.747603232,10.350184992,42,91.143028127,72.652780087,3.6207035122,19.3,6.3365767089,35.808218376,415.63740099,12.1,19.231433506
20.11404561,18.173356594,33.9,8.1,29.3,60.967360054,14.963383147,11.014042165,46,92.007434944,58.79575447,3.5453966457,15.8,5.1272066936,25.630548119,160.12374188,11.8,11.301636789
30.355910546,22.615911188,46.9,4.6,33.7,4.867687406,10.353729882,10.822831727,32,91.304347826,35.206470839,7.3103448276,39.6,6.4781650131,67.505422993,671.01922379,10.9,19.45754717
29.863338128,21.414696395,49.6,4.0,32.3,31.339735223,10.735045137,10.554682237,33,80.0,56.03470944,5.4631525077,39.7,6.7510675025,60.011954573,734.31241656,11.7,19.89892609
19.257825328,16.820172701,32.9,7.5,22.0,69.313433549,15.580258807,9.4393471314,45,93.194374686,73.195343377,3.4603231118,16.9,5.2404808813,30.058281584,610.72315915,11.6,11.943551268
26.241737437,21.356000347,42.2,5.5,32.4,42.935273696,11.869802712,9.7974289053,33,90.909090909,50.736425588,5.0072473317,34.5,7.4839429514,43.710832587,449.41524948,10.6,18.098159509
22.256504668,19.060203607,36.8,7.9,31.3,47.033402651,14.034900074,11.408083442,39,90.217391304,55.606441129,4.0879751375,27.4,4.7880871297,26.485623003,295.8973336,10.5,11.133360032
22.394653056,21.017853481,34.4,8.0,36.2,54.418989669,14.196560839,15.643576987,43,92.289348172,52.029932909,3.3827879243,27.9,4.9171490989,34.372194434,286.26908241,11.8,13.929193268
22.399091396,19.369969149,36.3,6.4,30.6,70.217582907,15.193298105,11.719890151,41,83.709920379,59.526485353,4.6946202363,31.4,5.2716083606,44.072172871,548.14738002,10.8,16.618047452
30.016195849,23.257538963,41.8,5.0,33.7,51.543263395,11.230333142,12.789735099,37,88.030888031,40.808902204,6.1749091925,31.6,8.4020367501,56.178861789,492.30914187,10.4,10.523150932
23.875086222,19.68315291,37.7,5.5,28.7,73.784786561,13.851006741,11.005422221,38,81.608133087,62.194804773,3.9960598225,31.3,5.4882044561,51.937517644,531.7145579,11.9,18.304164821
20.554282339,18.855706149,32.4,7.9,26.6,59.229224203,13.550369498,11.560252216,44,90.196078431,55.908753459,3.5197642841,20.1,4.5953668693,31.042357274,180.73324863,11.6,13.440918445
35.429054078,26.003088568,43.4,4.9,34.6,52.724010953,9.6865672713,11.480988312,23,93.069306931,54.639709694,6.5351780983,52.8,4.7147055942,75.93040116,381.4147018,10.7,17.8125
26.593264751,21.199123041,34.9,7.1,25.5,5.8847361491,12.329013326,11.607203534,46,98.181818182,53.347947389,4.5611787316,30.8,5.8220673802,43.441183848,166.21551028,10.5,14.238845144
24.554163207,20.604656176,36.2,6.2,27.8,51.41797623,15.009512824,12.916650758,38,87.285223368,59.649842703,4.5042678923,30.6,6.9534747745,46.416487235,564.40203486,11.0,15.78125
21.389294498,18.998357528,37.4,7.2,34.2,40.666870336,14.006823481,13.227662455,33,91.80887372,49.543831813,4.0155168798,31.4,5.0904265906,38.832176399,196.49835515,11.0,15.132336018
25.463148765,21.791319835,45.1,6.6,31.5,64.349254915,13.287645914,11.304654005,40,88.145896657,61.467441149,4.0205447733,31.6,5.1985548225,46.214909432,504.99623939,12.1,16.789791807
19.272571246,18.335301284,36.6,8.4,30.7,42.332491955,15.148344211,10.041068328,39,88.405797101,55.491864721,3.4951994557,15.0,4.2151133072,26.323713927,299.39947706,12.0,10.556079171
16.489439968,15.561157468,35.0,8.6,25.0,83.698387882,17.049655133,7.8591340516,44,94.221585482,76.467547284,2.8514230541,8.9,4.1800783881,19.338214812,263.62287755,12.0,10.554385041
33.63301606,22.491914972,42.8,4.6,37.6,36.322022815,10.719737866,11.362216205,28,76.978417266,56.98017714,5.8934563758,48.1,7.5608453045,58.802537669,435.48017419,10.4,23.258196721
23.197124311,23.159862261,38.8,7.0,34.9,48.021047259,13.932033355,10.302041075,34,92.702394527,52.011855126,4.2798330379,26.4,5.0086977531,45.780863834,468.57277443,11.5,13.175460903
22.847306752,18.180067185,36.0,7.2,30.0,68.805267205,13.18244811,11.904836931,43,89.892473118,49.884151993,4.1863605672,30.7,5.5557963164,43.519494204,638.9143409,11.4,17.074663403
20.262329983,17.872632402,34.6,7.1,30.0,75.660652639,16.051988082,9.3086830807,44,88.524590164,64.304939259,3.6566275143,20.9,5.017339356,37.560155118,401.7177234,11.3,17.057069847
24.371718875,22.68098456,39.6,7.5,35.7,43.984900706,13.836303082,11.670766468,40,90.358467244,52.907894737,4.249562311,24.7,5.0501617171,32.08887014,449.85017832,11.6,12.264338162
